Glucose,-300,-250,-200,-150,-100,-50,0,50,100,150,200,250,300
0,17.608059664975094,14.673383054145912,11.73870644331673,8.804029832487547,5.869353221658365,2.9346766108291824,-0,NA,NA,NA,NA,NA,NA
5,17.92913109627608,14.994454485446898,12.059777874617716,9.125101263788533,6.190424652959351,3.2557480421301683,0.3210714313009859,NA,NA,NA,NA,NA,NA
10,18.250202527577066,15.315525916747884,12.380849305918701,9.446172695089519,6.511496084260337,3.5768194734311543,0.6421428626019718,NA,NA,NA,NA,NA,NA
15,18.571273958878052,15.63659734804887,12.701920737219687,9.767244126390505,6.8325675155613235,3.8978909047321406,0.9632142939029578,NA,NA,NA,NA,NA,NA
20,18.892345390179038,15.957668779349854,13.022992168520673,10.088315557691491,7.1536389468623085,4.218962336033126,1.2842857252039437,NA,NA,NA,NA,NA,NA
25,19.213416821480028,16.27874021065084,13.34406359982166,10.409386988992477,7.474710378163295,4.540033767334113,1.6053571565049298,NA,NA,NA,NA,NA,NA
30,19.53448825278101,16.599811641951828,13.665135031122647,10.730458420293465,7.795781809464281,4.861105198635098,1.9264285878059155,NA,NA,NA,NA,NA,NA
35,19.855559684081996,16.920883073252813,13.986206462423631,11.051529851594449,8.116853240765266,5.182176629936085,2.2475000191069014,NA,NA,NA,NA,NA,NA
40,20.176631115382982,17.2419545045538,14.307277893724617,11.372601282895435,8.437924672066252,5.50324806123707,2.5685714504078874,NA,NA,NA,NA,NA,NA
45,20.497702546683968,17.563025935854785,14.628349325025603,11.69367271419642,8.758996103367238,5.824319492538057,2.8896428817088737,NA,NA,NA,NA,NA,NA
50,20.818773977984954,17.88409736715577,14.94942075632659,12.014744145497408,9.080067534668226,6.1453909238390425,3.2107143130098597,0.2760377021806772,NA,NA,NA,NA,NA
55,21.139845409285943,18.20516879845676,15.270492187627577,12.335815576798392,9.40113896596921,6.466462355140028,3.5317857443108456,0.5971091334816632,NA,NA,NA,NA,NA
60,21.46091684058693,18.526240229757747,15.591563618928562,12.656887008099378,9.722210397270196,6.7875337864410135,3.852857175611831,0.9181805647826486,NA,NA,NA,NA,NA
65,21.781988271887915,18.84731166105873,15.912635050229548,12.977958439400366,10.043281828571184,7.108605217742,4.173928606912818,1.239251996083635,NA,NA,NA,NA,NA
70,22.103059703188897,19.168383092359715,16.233706481530533,13.299029870701352,10.36435325987217,7.429676649042985,4.495000038213803,1.5603234273846205,NA,NA,NA,NA,NA
75,22.424131134489883,19.4894545236607,16.55477791283152,13.620101302002336,10.685424691173154,7.750748080343972,4.81607146951479,1.8813948586856069,NA,NA,NA,NA,NA
80,22.74520256579087,19.810525954961687,16.875849344132504,13.941172733303322,11.00649612247414,8.071819511644957,5.137142900815775,2.2024662899865923,NA,NA,NA,NA,NA
85,23.066273997091855,20.131597386262673,17.19692077543349,14.262244164604308,11.327567553775125,8.392890942945943,5.4582143321167615,2.5235377212875787,NA,NA,NA,NA,NA
90,23.38734542839284,20.45266881756366,17.517992206734476,14.583315595905296,11.648638985076113,8.71396237424693,5.7792857634177475,2.844609152588565,NA,NA,NA,NA,NA
95,23.708416859693827,20.773740248864645,17.839063638035462,14.90438702720628,11.969710416377097,9.035033805547915,6.100357194718733,3.1656805838895505,0.23100397306036805,NA,NA,NA,NA
100,24.029488290994816,21.094811680165634,18.16013506933645,15.225458458507267,12.290781847678085,9.356105236848903,6.421428626019719,3.486752015190537,0.5520754043613544,NA,NA,NA,NA
